id,yorum,mevcut_etiket,model_tahmini,guven,onerilen_etiket,manuel_etiket,inceleme_notu
NOTR-077,çok memnun kalmadım dedikleri gibi nem bombası değiliz normal bir maske ve için faydasını göremedim,nötr,olumsuz,0.843,olumsuz,,
NOTR-080,"Benim saçlarım kalın telli, çok gür, kurutursam düz kurutmazsam dalgalı oluyor ve çok kabarır. Benim tek beklentim kabarmasını önlemesiydi. Düzgünce her adımımı yaptık. Saçımı dümdüz yapmadı, normal her zamanki gibi kuruttuğum zamanki düzlük oldu, yumuşacık oldu, kabarmasıyla %70 engel oldu. Genel olarak düzleştirme ve kabarmasına engel olmaktan çok bakım yaptı.",nötr,olumlu,0.838,olumlu,,
NOTR-086,markayı beğendiğim için aldım uzun süreli kullanımda etkisini anlayabilirim,nötr,olumlu,0.892,olumlu,,
NOTR-088,Ürün çok hızlı geldi .,nötr,olumlu,0.634,olumlu,,
NOTR-089,Yumuşacık kadife gibi yapıyor ben de sivilcelenme falan yapmadı,nötr,olumlu,0.752,olumlu,,
NOTR-091,Öyle bahsedildigi gibi bir temizlik hissiyati olmadi. elimle yikadigimda ayni temizlige ulasiyordum. en üst seviyede kullamdim ve iki yuzunude deniyorum 4 gündür cihazin bastirsan kizariyor yüzü bastirmasan kendi kendini avutuyor makina. cidden psikolojik temizlik hissi yaşayanların ki yada dogru yikamayi bilmiyorlar imiş yüzlerini.  Almak isteyenler mumkunse yakin cevresinden birininkini en azindan el ustunde calistirip tecrube etsin nacizane öneri ....,nötr,olumlu,0.526,olumlu,,
NOTR-093,Gerçekten diğerlerine göre çok kaliteli.,nötr,olumlu,0.975,olumlu,,
NOTR-094,Çekim gücü idare eder ama ürün sadece yüzeysel temizlik yapıyor. Beyaz noktalarım var. Siyah noktadan 2 kat daha kolay çıkabilen beyaz noktaları bile yüzeysel aldı. Elimle bile 2-3 kat daha iyi iş çıkarırım. Ayrıca evet morartıyor.,nötr,olumlu,0.522,olumlu,,
NOTR-096,Çok çok yoğun küçücük bir damlası nerdeyse tüm yüzüme yetiyor beyaz tenli olmama rağmen bu rengi bir tık açık geldi bana,nötr,olumsuz,0.656,olumsuz,,
NOTR-097,KaliCi değil,nötr,olumsuz,0.919,olumsuz,,
NOTR-100,beklediğim koku değil,nötr,olumsuz,0.763,olumsuz,,
NOTR-103,Kampanyadan alınca fiyat marketlere göre çok uygun oluyor.İdare eder bir ürün.,nötr,olumlu,0.894,olumlu,,
NOTR-104,"Yorumları okuyarak almaya karar verdim umarım faydasını görürsem tekrar yazarım, ürün çok hızlı bir şekilde elime ulaştı teşekkürler tredyol",nötr,olumlu,0.917,olumlu,,
NOTR-107,Bu ürünü pek beğenmedim. Yıkadıktan sonra türünculuklar kalıyor yüzde.,nötr,olumsuz,0.764,olumsuz,,
NOTR-108,Annem için aldim memnun kendisi,nötr,olumlu,0.573,olumlu,,
NOTR-114,"bu fiyata boyut olarak gayet uygun,  dermokil de kötü bir marka değil, ürünün kükusu güzel ve işe yarıyor.",nötr,olumlu,0.835,olumlu,,
NOTR-116,Çabuk bozuldu ama babam yaptı Allahtan kabloları kopmuş içinde,nötr,olumsuz,0.619,olumsuz,,
NOTR-119,lazere gidenler ve bu dönemde sksayanlar için tüyleri kısaltmaya yarayan bir alet,nötr,olumlu,0.496,olumlu,,
NOTR-122,Kokusu kalıcı değil.,nötr,olumsuz,0.529,olumsuz,,
NOTR-127,Paketleme her şey çok güzeldi hızlı kargo için teşekkür ederim 😍,nötr,olumlu,0.972,olumlu,,
NOTR-129,Çok memnun kaldım,nötr,olumlu,0.752,olumlu,,
NOTR-138,paketleme güzel ürünü daha yeni kullanmaya başladım ama kokusu çok güzel şimdilik beğendim umarım faydasını da görürüm zamanla,nötr,olumlu,0.723,olumlu,,
NOTR-139,koyu lekelerim için almştım ama bir faydasını görmedim malesef,nötr,olumsuz,0.527,olumsuz,,
NOTR-142,ürüne baktığımız zaman güzel ürün paketlemesi de güzel fakat ürünü kutusundan çıkartırken ne kutusunda bir güvenlik bandı nede içindeki şişede bir ambalaj güvensiz bir ürün fakat satıcının bunda yapabilecek bir şeyi yok,nötr,olumsuz,0.609,olumsuz,,
NOTR-144,güzel ve kullanisli,nötr,olumlu,0.595,olumlu,,
NOTR-146,Çok koyu geldi kullanamadım maalesef,nötr,olumsuz,0.607,olumsuz,,
NOTR-150,Kalıcı çok hoş bir kokusu var,nötr,olumlu,0.7,olumlu,,
